dep,n_users,severe_n,severe_rate
46,201,96,0.47761194029850745
8,183,86,0.46994535519125685
70,246,114,0.4634146341463415
987,278,128,0.460431654676259
40,374,167,0.446524064171123
90,104,46,0.4423076923076923
53,235,103,0.43829787234042555
43,262,114,0.4351145038167939
23,130,56,0.4307692307692308
16,388,165,0.4252577319587629
82,333,141,0.42342342342342343
47,426,176,0.4131455399061033
24,452,185,0.4092920353982301
32,330,135,0.4090909090909091
28,521,208,0.39923224568138194
39,238,95,0.39915966386554624
978,89,35,0.39325842696629215
61,407,158,0.3882063882063882
85,749,280,0.37383177570093457
977,30,11,0.36666666666666664
81,438,160,0.365296803652968
88,421,153,0.36342042755344417
79,483,174,0.36024844720496896
15,180,64,0.35555555555555557
21,499,177,0.35470941883767537
57,836,295,0.35287081339712917
62,1323,462,0.3492063492063492
2,459,158,0.3442265795206972
9,267,91,0.3408239700374532
84,605,206,0.34049586776859503
55,224,76,0.3392857142857143
18,363,123,0.33884297520661155
3,550,186,0.3381818181818182
73,565,191,0.3380530973451327
36,312,105,0.33653846153846156
52,230,77,0.3347826086956522
89,518,173,0.333976833976834
48,177,59,0.3333333333333333
986,21,7,0.3333333333333333
30,1074,353,0.3286778398510242
65,293,96,0.32764505119453924
12,449,146,0.32516703786191536
7,545,165,0.30275229357798167
4,526,159,0.30228136882129275
971,848,256,0.3018867924528302
44,1313,396,0.3015993907083016
86,646,193,0.29876160990712075
38,1641,478,0.29128580134064597
26,753,219,0.2908366533864542
25,614,177,0.28827361563517917
41,628,180,0.28662420382165604
975,7,2,0.2857142857142857
988,896,253,0.28236607142857145
1,1144,316,0.2762237762237762
58,355,98,0.27605633802816903
83,1799,496,0.2757087270705948
22,961,263,0.2736732570239334
59,2002,542,0.2707292707292707
11,776,210,0.2706185567010309
27,924,250,0.27056277056277056
71,1028,274,0.26653696498054474
60,1003,263,0.2622133599202393
68,954,240,0.25157232704402516
42,892,224,0.25112107623318386
63,1035,256,0.24734299516908212
74,1254,309,0.24641148325358853
17,1428,338,0.23669467787114845
19,405,95,0.2345679012345679
NA,263,61,0.23193916349809887
76,1545,358,0.23171521035598705
56,1207,275,0.22783761391880697
34,2008,449,0.22360557768924302
14,1238,274,0.22132471728594508
973,931,206,0.22126745435016112
6,2341,516,0.22041862451943614
50,1027,224,0.2181110029211295
31,1887,394,0.2087970323264441
66,799,166,0.20775969962453067
72,896,186,0.20758928571428573
51,1131,223,0.1971706454465075
2A,631,123,0.1949286846275753
49,1589,308,0.19383259911894274
5,614,119,0.19381107491856678
29,1545,299,0.1935275080906149
2B,802,155,0.19326683291770574
974,1797,344,0.1914301613800779
87,922,169,0.18329718004338394
80,1063,194,0.18250235183443086
77,2455,418,0.17026476578411406
45,1407,238,0.1691542288557214
35,1753,294,0.1677124928693668
64,1808,302,0.1670353982300885
33,3526,569,0.1613726602382303
972,1246,201,0.16131621187800962
54,1254,202,0.16108452950558214
67,1793,284,0.15839375348577803
37,1566,243,0.15517241379310345
10,881,136,0.1543700340522134
78,1731,260,0.15020219526285383
13,7003,927,0.13237184063972582
976,475,56,0.11789473684210526
69,5777,661,0.11441924874502336
95,1822,203,0.11141602634467618
91,3384,272,0.08037825059101655
93,6976,403,0.057769495412844034
92,5304,248,0.04675716440422323
94,6045,279,0.046153846153846156
75,11895,434,0.036485918453131566
